DonorOrganization,RecipientCandidateNameNormalized,RecipientCandidateParty,DonorEntityType,total,,govtrack_id,
Argonne National Laboratory,Elizabeth Warren,Democratic,Individual,250,,412542,
Autopart International,Elizabeth Warren,Democratic,Individual,4250,,412542,
Av International,Elizabeth Warren,Democratic,Individual,2500,,412542,
Berner International Corporation,Elizabeth Warren,Democratic,Individual,2000,,412542,
Best Western International Inc,Elizabeth Warren,Democratic,Individual,1000,,412542,
Brookham National Lab,Elizabeth Warren,Democratic,Individual,500,,412542,
Carnegie Endowment For International P,Elizabeth Warren,Democratic,Individual,1000,,412542,
Central National-Gottesman,Elizabeth Warren,Democratic,Individual,1250,,412542,
Chemlube International,Elizabeth Warren,Democratic,Individual,500,,412542,
Choice Hotels International,Elizabeth Warren,Democratic,Individual,1000,,412542,
City National Bank,Elizabeth Warren,Democratic,Individual,250,,412542,
Cna National Warranty Corp.,Elizabeth Warren,Democratic,Individual,250,,412542,
Collectral International,Elizabeth Warren,Democratic,Individual,1000,,412542,
Credit Union National Association,Elizabeth Warren,Democratic,,6000,,412542,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,Evan Bayh,Democratic,,10000,,0,
Automotive Free International Trad,Evan Bayh,Democratic,Unknown,-5000,,0,
Baxter International,Evan Bayh,Democratic,,1000,,0,
Credit Union National Association,Evan Bayh,Democratic,,4000,,0,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),Frank Lautenberg,\N,,2000,,0,
Credit Union National Association,Frank Lautenberg,\N,,1000,,0,
Cimmaron International Corp,Frank Pallone,\N,Individual,500,,0,
Advent International,Gabriel Gomez,Republican,Individual,37350,,0,
Colliers International,Gabriel Gomez,Republican,Individual,4850,,0,
BROOKE HOLDINGS LLC AND JACKSON NATIONAL LIFE INSURANCE COMPANY SSF (JACKSON NATIONAL PAC),Gary Peters,\N,,7500,,412305,
Baxter International,Gary Peters,Democratic,Individual,250,,412305,
Credit Union National Association,Gary Peters,\N,,12500,,412305,
AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA POLITICAL ACTION COMMITTEE (AIRPORT PAC),Harry Reid,Democratic,,6000,,300082,
Amex International Inc.,Harry Reid,Democratic,Individual,1000,,300082,
Bc International Group,Harry Reid,Democratic,Individual,6800,,300082,
Berner International Corporation,Harry Reid,Democratic,Individual,750,,300082,
Bioarts International,Harry Reid,Democratic,Individual,2400,,300082,
Brinker International,Harry Reid,Democratic,,1000,,300082,
Building Owners and Managers Association International,Harry Reid,Democratic,,5000,,300082,
CONFERENCE OF NATIONAL PARK CONCESSIONERS POLITICAL ACTION COMMITTEE (CONPAC),Harry Reid,Democratic,,1200,,300082,
Cash America International,Harry Reid,Democratic,,13000,,300082,
Choice Hotels International,Harry Reid,Democratic,Individual,4800,,300082,
City National Bank,Harry Reid,Democratic,Individual,7400,,300082,
Credit Union National Association,Harry Reid,Democratic,Individual,11250,,300082,
Cruise Lines International Association,Harry Reid,Democratic,,9000,,300082,
DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,Harry Reid,Democratic,,1205,,300082,
DORSEY NATIONAL FUND,Harry Reid,Democratic,,3400,,300082,
Danya International,Harry Reid,Democratic,Individual,1000,,300082,
Army National Guard,Heidi Heitkamp,Democratic,Individual,500,,412554,
Credit Union National Association,Heidi Heitkamp,Democratic,,11000,,412554,
DORSEY NATIONAL FUND,Heidi Heitkamp,Democratic,,1500,,412554,
Ani International,inc,Mark Kirk,Republican,Individual,250,0,
1st National Bank & Trust Co,James Inhofe,Republican,Individual,1000,,300055,
AUTOMOTIVE FREE INTERNATIONAL TRADE PAC,James Inhofe,Republican,,10000,,300055,7500
Bluewater International,James Inhofe,Republican,Individual,2000,,300055,2500
City National Bank,James Inhofe,\N,Individual,1450,,300055,5000
Army National Guard,Jason Kander,Democratic,Individual,1200,,0,2500
Albany International,Jeanne Shaheen,Democratic,Individual,5200,,412323,3000
Barrett Sothebys International,Jeanne Shaheen,Democratic,Individual,1000,,412323,1500
Berner International Corp.,Jeanne Shaheen,Democratic,Individual,500,,412323,1500
Brookhaven National Lab,Jeanne Shaheen,Democratic,Individual,500,,412323,2500
Building Owners and Managers Association International,Jeanne Shaheen,\N,,5000,,412323,2000
