DonorOrganization,RecipientCandidateNameNormalized,Total,bioguide_id,thomas_id,govtrack_id,fec_id,fec_id2,fec_id3
Homemaker,Debbie Ann Stabenow,193216,S000770,1531,300093,S8MI00281,H6MI08163,
Davis Polk & Wardwell,Kirsten Gillibrand,193050,G000555,1866,412223,S0NY00410,H6NY20167,
Retired,Pat Roberts,192133,R000307,968,300083,S6KS00080,H0KS01016,
Retired,Martin Heinrich,185275,H001046,1937,412281,S2NM00088,H8NM01224,
Lazard,Charles Schumer,184500,S000148,1036,300087,S8NY00082,H0NY16010,
None,Rafael Edward Ted Cruz,183250,C001098,2175,412573,S2TX00312,,
Paul Weiss Rifkind Wharton and Garrison LLP,Charles Schumer,179250,S000148,1036,300087,S8NY00082,H0NY16010,
Homemaker,Jon Tester,177989,T000464,1829,412244,S6MT00162,,
Not Available,Thad Cochran,177709,C000567,213,300023,S8MS00055,,
Unknown,Debra S Fischer,155406,F000463,2179,412556,S2NE00094,,
Retired,Jeff Flake,153877,F000444,1633,400134,S2AZ00141,H0AZ01184,
Home Depot,John Isakson,151200,I000055,1608,400194,S6GA00119,H8GA06146,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Charles Grassley,150000,G000386,457,300048,S0IA00028,,
Self Employed,Michael Enzi,148929,E000285,1542,300041,S6WY00126,,
Paul Weiss Rifkind Wharton and Garrison LLP,Cory A Booker,147450,B001288,2194,412598,S4NJ00185,,
U.S. Government,Dianne Feinstein,146537,F000062,1332,300043,S0CA00199,,
Self Employed,Daniel R Coats,146097,C000542,209,402675,S0IN00053,,
Unknown,Mazie Hirono,145031,H001042,1844,412200,S2HI00106,H6HI02251,
Retired,Patty Murray,145014,M001111,1409,300076,S2WA00189,,
Self Employed,John Reed,144198,R000122,949,300081,S6RI00163,H0RI02071,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,John Hoeven,142600,H001061,2079,412494,S0ND00093,,
MOVEON.ORG POLITICAL ACTION,Tammy Baldwin,141467,B001230,1558,400013,S2WI00219,H8WI00018,
Not Available,Michael Enzi,141134,E000285,1542,300041,S6WY00126,,
Elliott Management,Mark Kirk,138950,K000360,1647,400222,S0IL00261,H0IL10120,
Unknown,Jeff Flake,138950,F000444,1633,400134,S2AZ00141,H0AZ01184,
Retired,John Reed,137900,R000122,949,300081,S6RI00163,H0RI02071,
Retired,Bernard Sanders,135580,S000033,1010,400357,S4VT00033,H8VT01016,
Elliott Management,Patrick Joseph Toomey,135511,T000461,2085,400408,S4PA00121,H8PA15096,
Not Available,Jon Tester,134440,T000464,1829,412244,S6MT00162,,
Corning,Kirsten Gillibrand,134400,G000555,1866,412223,S0NY00410,H6NY20167,
Se,Ronald Harold Johnson,134250,J000293,2086,412496,S0WI00197,,
Blackstone,Charles Schumer,133600,S000148,1036,300087,S8NY00082,H0NY16010,
None,Mitch Mcconnell,133265,M000355,1395,300072,S2KY00012,,
University of California,Barbara Boxer,133047,B000711,116,300011,S2CA00286,H2CA06028,P80003247
Not Employed,Tammy Baldwin,132090,B001230,1558,400013,S2WI00219,H8WI00018,
Morgan & Morgan,Bill Nelson,131750,N000032,859,300078,S8FL00166,,
Not Available,Richard Durbin,130950,D000563,326,300038,S6IL00151,H2IL20026,
Homemaker,John Reed,128654,R000122,949,300081,S6RI00163,H0RI02071,
Kirkland & Ellis,Mark Kirk,127984,K000360,1647,400222,S0IL00261,H0IL10120,
Retired,Thad Cochran,127445,C000567,213,300023,S8MS00055,,
Elliott Management,Kelly A Ayotte,126600,A000368,2075,412493,S0NH00235,,
None,Michael Crapo,125507,C000880,250,300030,S8ID00027,H2ID02034,
Not Employed,Claire Mccaskill,124233,M001170,1820,412243,S6MO00305,P80005721,
Goldman Sachs,Mitch Mcconnell,123225,M000355,1395,300072,S2KY00012,,
Retired,Patrick Leahy,122490,L000174,1383,300065,S4VT00017,,
Citadel,Mark Kirk,121900,K000360,1647,400222,S0IL00261,H0IL10120,
Unknown,Christopher Murphy,120670,M001169,1837,412194,S2CT00132,H6CT05124,
Self Employed,Thomas Carper,120525,C000174,179,300019,S8DE00079,,
young conaway stargatt and taylor llp,Christopher A Coons,119600,C001088,1984,412390,S0DE00092,,
Homemaker,Roy Blunt,119150,B000575,1464,400034,S0MO00183,H6MO07128,
Self Employed,Joni K Ernst,117850,E000295,2283,412667,S4IA00129,,
None,Martin Heinrich,116484,H001046,1937,412281,S2NM00088,H8NM01224,
None,Patty Murray,116461,M001111,1409,300076,S2WA00189,,
None,Pat Roberts,116410,R000307,968,300083,S6KS00080,H0KS01016,
None,Michael F Bennet,115180,B001267,1965,412330,S0CO00211,,
None,Jon Tester,114700,T000464,1829,412244,S6MT00162,,
Lowenstein Sandler,Robert Men�ndez,114317,M000639,791,400272,S6NJ00289,H2NJ13075,
U.S. Government,Timothy Michael Kaine,114017,K000384,2176,412582,S2VA00142,,
Homemaker,Dan Sullivan,113675,S001198,2290,412665,S4AK00214,,
Retired,Joe Donnelly,113240,D000607,1850,412205,S2IN00091,H4IN02101,
None,Charles Grassley,113200,G000386,457,300048,S0IA00028,,
NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Orrin Hatch,113100,H000338,1351,300052,S6UT00063,P00003806,
University of Wisconsin,Tammy Baldwin,112975,B001230,1558,400013,S2WI00219,H8WI00018,
Boeing,Patty Murray,112285,M001111,1409,300076,S2WA00189,,
Not Employed,Mark Kirk,111650,K000360,1647,400222,S0IL00261,H0IL10120,
Not Employed,Ron Wyden,110792,W000779,1247,300100,S6OR00110,H0OR03026,
Elliott Management,Marco Rubio,108735,R000595,2084,412491,S0FL00338,,
Not Available,Mitch Mcconnell,108606,M000355,1395,300072,S2KY00012,,
Retired,Richard Durbin,107412,D000563,326,300038,S6IL00151,H2IL20026,
None,Joe Donnelly,106609,D000607,1850,412205,S2IN00091,H4IN02101,
General Electric,Rob Portman,106560,P000449,924,400325,S0OH00133,H4OH02032,
Goldman Sachs,Rob Portman,106550,P000449,924,400325,S0OH00133,H4OH02032,
None,Richard Burr,106010,B001135,153,400054,S4NC00089,H2NC05074,
Schulte Roth and Zabel LLP,Charles Schumer,105800,S000148,1036,300087,S8NY00082,H0NY16010,
Self Employed,Michael Crapo,105517,C000880,250,300030,S8ID00027,H2ID02034,
Elliott Management,Dan Sullivan,104000,S001198,2290,412665,S4AK00214,,
Morgan Stanley,Kirsten Gillibrand,103475,G000555,1866,412223,S0NY00410,H6NY20167,
Unknown,Rob Portman,103472,P000449,924,400325,S0OH00133,H4OH02032,
Self Employed,Richard Shelby,102979,S000320,1049,300089,S6AL00013,,
Brownstein Hyatt Farber Schreck,Michael F Bennet,102602,B001267,1965,412330,S0CO00211,,
PG&E,Dianne Feinstein,102200,F000062,1332,300043,S0CA00199,,
Elliott Management,Thom R Tillis,101400,T000476,2291,412668,S4NC00162,,
U.S. Government,John Hoeven,101250,H001061,2079,412494,S0ND00093,,
MetLife,Rob Portman,100900,P000449,924,400325,S0OH00133,H4OH02032,
Not Available,Ronald Harold Johnson,100900,J000293,2086,412496,S0WI00197,,
Oaktree Capital Management,Michael F Bennet,99950,B001267,1965,412330,S0CO00211,,
Paulson & Co.,Charles Schumer,98900,S000148,1036,300087,S8NY00082,H0NY16010,
Sullivan and Cromwell LLP,Rob Portman,98800,P000449,924,400325,S0OH00133,H4OH02032,
Citigroup,Charles Schumer,98750,S000148,1036,300087,S8NY00082,H0NY16010,
None,Patrick Joseph Toomey,98542,T000461,2085,400408,S4PA00121,H8PA15096,
University Of Washington,Patty Murray,97270,M001111,1409,300076,S2WA00189,,
Sullivan and Cromwell LLP,Kirsten Gillibrand,96875,G000555,1866,412223,S0NY00410,H6NY20167,
Pershing Square Capital Management,Charles Schumer,96499,S000148,1036,300087,S8NY00082,H0NY16010,
Mylan,Joe Manchin Iii,96000,M001183,1983,412391,S0WV00090,,
Express Scripts,Claire Mccaskill,95058,M001170,1820,412243,S6MO00305,P80005721,
Not Available,Jefferson Sessions,94400,S001141,1548,300088,S6AL00195,,
U.S. Government,Mark Robert Warner,93950,W000805,1897,412321,S6VA00093,P80003023,
Woodforest National Bank,Rafael Edward Ted Cruz,93900,C001098,2175,412573,S2TX00312,,
Blackstone,Kirsten Gillibrand,93600,G000555,1866,412223,S0NY00410,H6NY20167,
Thorton and Naumes,Charles Schumer,92800,S000148,1036,300087,S8NY00082,H0NY16010,
Homemaker,Amy Klobuchar,92672,K000367,1826,412242,S6MN00267,,
Washington University,Claire Mccaskill,91810,M001170,1820,412243,S6MO00305,P80005721,
American Financial Group,Rob Portman,91652,P000449,924,400325,S0OH00133,H4OH02032,
KKR & Co. L.P.,Charles Schumer,91500,S000148,1036,300087,S8NY00082,H0NY16010,
